date,btc,eth,bch,ltc,xmr,dash,zec
2011/10/13,0.00349,,,,,,
2011/10/14,0.0023,,,,,,
2011/10/15,0.00243,,,,,,
2011/10/16,0.00244,,,,,,
2011/10/17,0.00232,,,,,,
2011/10/18,0.00152,,,,,,
2011/10/19,0.00153,,,,,,
2011/10/20,0.00305,,,,,,
2011/10/21,0.00129,,,,,,
2011/10/22,0.00161,,,,,,
2011/10/23,0.00177,,,,,,
2011/10/24,0.0017,,,,,,
2011/10/25,0.00142,,,,,,
2011/10/26,0.00166,,,,,,
2011/10/27,0.0017,,,,,,
2011/10/28,0.00189,,,,,,
2011/10/29,0.00214,,,,,,
2011/10/30,0.00231,,,,,,
2011/10/31,0.00202,,,,,,
2011/11/01,0.00279,,,,,,
2011/11/02,0.00181,,,,,,
2011/11/03,0.00152,,,,,,
2011/11/04,0.00155,,,,,,
2011/11/05,0.0019,,,,,,
2011/11/06,0.00143,,,,,,
2011/11/07,0.00194,,,,,,
2011/11/08,0.00215,,,,,,
2011/11/09,0.00157,,,,,,
2011/11/10,0.00152,,,,,,
2011/11/11,0.00124,,,,,,
2011/11/12,0.00151,,,,,,
2011/11/13,0.00164,,,,,,
2011/11/14,0.00125,,,,,,
2011/11/15,0.0011,,,,,,
2011/11/16,0.00156,,,,,,
2011/11/17,0.00142,,,,,,
2011/11/18,0.00144,,,,,,
2011/11/19,0.00143,,,,,,
2011/11/20,0.00174,,,,,,
2011/11/21,0.00134,,,,,,
2011/11/22,0.00128,,,,,,
2011/11/23,0.0015,,,,,,
2011/11/24,0.00194,,,,,,
2011/11/25,0.00198,,,,,,
2011/11/26,0.00151,,,,,,
2011/11/27,0.00128,,,,,,
2011/11/28,0.00132,,,,,,
2011/11/29,0.00185,,,,,,
2011/11/30,0.00156,,,,,,
2011/12/01,0.0022,,,,,,
2011/12/02,0.0023,,,,,,
2011/12/03,0.00251,,,,,,
2011/12/04,0.00152,,,,,,
2011/12/05,0.00141,,,,,,
2011/12/06,0.00161,,,,,,
2011/12/07,0.00194,,,,,,
2011/12/08,0.00145,,,,,,
2011/12/09,0.00165,,,,,,
2011/12/10,0.00157,,,,,,
2011/12/11,0.136,,,,,,
2011/12/12,0.12,,,,,,
2011/12/13,0.00247,,,,,,
2011/12/14,0.00222,,,,,,
2011/12/15,0.00524,,,,,,
2011/12/16,0.00171,,,,,,
2011/12/17,0.00239,,,,,,
2011/12/18,0.0022,,,,,,
2011/12/19,0.00245,,,,,,
2011/12/20,0.00358,,,,,,
2011/12/21,0.00307,,,,,,
2011/12/22,0.00235,,,,,,
2011/12/23,0.00188,,,,,,
2011/12/24,0.00196,,,,,,
2011/12/25,0.00234,,,,,,
2011/12/26,0.00246,,,,,,
2011/12/27,0.00239,,,,,,
2011/12/28,0.00268,,,,,,
2011/12/29,0.00343,,,,,,
2011/12/30,0.00286,,,,,,
2011/12/31,0.00355,,,,,,
2012/01/01,0.00365,,,,,,
2012/01/02,0.00553,,,,,,
2012/01/03,0.00481,,,,,,
2012/01/04,0.0133,,,,,,
2012/01/05,0.00521,,,,,,
2012/01/06,0.00684,,,,,,
2012/01/07,0.00529,,,,,,
2012/01/08,0.00415,,,,,,
2012/01/09,0.00718,,,,,,
2012/01/10,0.00475,,,,,,
2012/01/11,0.00545,,,,,,
2012/01/12,0.0432,,,,,,
2012/01/13,0.00963,,,,,,
2012/01/14,0.0126,,,,,,
2012/01/15,0.015,,,,,,
2012/01/16,0.0393,,,,,,
2012/01/17,0.00712,,,,,,
2012/01/18,0.00954,,,,,,
2012/01/19,0.025,,,,,,
2012/01/20,0.024,,,,,,
2012/01/21,0.00488,,,,,,
2012/01/22,0.00366,,,,,,
2012/01/23,0.0053,,,,,,
2012/01/24,0.00865,,,,,,
2012/01/25,0.00591,,,,,,
2012/01/26,0.00772,,,,,,
2012/01/27,0.0197,,,,,,
2012/01/28,0.0086,,,,,,
2012/01/29,0.194,,,,,,
2012/01/30,0.0265,,,,,,
2012/01/31,0.00582,,,,,,
2012/02/01,0.00434,,,,,,
2012/02/02,0.0101,,,,,,
2012/02/03,0.00604,,,,,,
2012/02/04,0.00726,,,,,,
2012/02/05,0.00371,,,,,,
2012/02/06,0.00398,,,,,,
2012/02/07,0.0054,,,,,,
2012/02/08,0.0042,,,,,,
2012/02/09,0.00577,,,,,,
2012/02/10,0.00295,,,,,,
2012/02/11,0.00299,,,,,,
2012/02/12,0.00314,,,,,,
2012/02/13,0.0036,,,,,,
2012/02/14,0.00804,,,,,,
2012/02/15,0.00291,,,,,,
2012/02/16,0.00459,,,,,,
2012/02/17,0.00236,,,,,,
2012/02/18,0.00227,,,,,,
2012/02/19,0.00197,,,,,,
2012/02/20,0.0029,,,,,,
2012/02/21,0.00236,,,,,,
2012/02/22,0.00211,,,,,,
2012/02/23,0.00302,,,,,,
2012/02/24,0.00327,,,,,,
2012/02/25,0.00249,,,,,,
2012/02/26,0.00293,,,,,,
2012/02/27,0.00425,,,,,,
2012/02/28,0.00288,,,,,,
2012/02/29,0.00253,,,,,,
2012/03/01,0.00493,,,,,,
2012/03/02,0.00289,,,,,,
2012/03/03,0.00227,,,,,,
2012/03/04,0.00353,,,,,,
2012/03/05,0.00372,,,,,,
2012/03/06,0.00388,,,,,,
2012/03/07,0.00308,,,,,,
2012/03/08,0.0031,,,,,,
2012/03/09,0.0032,,,,,,
2012/03/10,0.00408,,,,,,
2012/03/11,0.00278,,,,,,
2012/03/12,0.00309,,,,,,
2012/03/13,0.00795,,,,,,
2012/03/14,0.00409,,,,,,
2012/03/15,0.00314,,,,,,
2012/03/16,0.00695,,,,,,
2012/03/17,0.0028,,,,,,
2012/03/18,0.00288,,,,,,
2012/03/19,0.00323,,,,,,
2012/03/20,0.00343,,,,,,
2012/03/21,0.00238,,,,,,
2012/03/22,0.0025,,,,,,
2012/03/23,0.0033,,,,,,
2012/03/24,0.0113,,,,,,
2012/03/25,0.00526,,,,,,
2012/03/26,0.00246,,,,,,
2012/03/27,0.00309,,,,,,
2012/03/28,0.00335,,,,,,
2012/03/29,0.0029,,,,,,
2012/03/30,0.00318,,,,,,
2012/03/31,0.00366,,,,,,
2012/04/01,0.00342,,,,,,
2012/04/02,0.00321,,,,,,
2012/04/03,0.00331,,,,,,
2012/04/04,0.00347,,,,,,
2012/04/05,0.00347,,,,,,
2012/04/06,0.00362,,,,,,
2012/04/07,0.003,,,,,,
2012/04/08,0.0032,,,,,,
2012/04/09,0.00287,,,,,,
2012/04/10,0.00408,,,,,,
2012/04/11,0.00332,,,,,,
2012/04/12,0.00378,,,,,,
2012/04/13,0.00292,,,,,,
2012/04/14,0.00382,,,,,,
2012/04/15,0.00253,,,,,,
2012/04/16,0.00351,,,,,,
2012/04/17,0.00435,,,,,,
2012/04/18,0.00371,,,,,,
2012/04/19,0.00387,,,,,,
2012/04/20,0.00466,,,,,,
2012/04/21,0.00373,,,,,,
2012/04/22,0.0041,,,,,,
2012/04/23,0.00312,,,,,,
2012/04/24,0.00438,,,,,,
2012/04/25,0.00381,,,,,,
2012/04/26,0.00638,,,,,,
2012/04/27,0.00498,,,,,,
2012/04/28,0.00476,,,,,,
2012/04/29,0.00266,,,,,,
2012/04/30,0.00274,,,,,,
2012/05/01,0.00334,,,,,,
2012/05/02,0.00355,,,,,,
2012/05/03,0.00416,,,,,,
2012/05/04,0.00382,,,,,,
2012/05/05,0.00311,,,,,,
2012/05/06,0.00339,,,,,,
2012/05/07,0.00377,,,,,,
2012/05/08,0.00358,,,,,,
2012/05/09,0.00418,,,,,,
2012/05/10,0.00375,,,,,,
2012/05/11,0.00319,,,,,,
2012/05/12,0.00297,,,,,,
2012/05/13,0.004,,,,,,
2012/05/14,0.00491,,,,,,
2012/05/15,0.00464,,,,,,
2012/05/16,0.00367,,,,,,
2012/05/17,0.00355,,,,,,
2012/05/18,0.0036,,,,,,
2012/05/19,0.00462,,,,,,
2012/05/20,0.00326,,,,,,
2012/05/21,0.00317,,,,,,
2012/05/22,0.00279,,,,,,
2012/05/23,0.00358,,,,,,
2012/05/24,0.00376,,,,,,
2012/05/25,0.00343,,,,,,
2012/05/26,0.00344,,,,,,
2012/05/27,0.00342,,,,,,
2012/05/28,0.00336,,,,,,
2012/05/29,0.00294,,,,,,
2012/05/30,0.00381,,,,,,
2012/05/31,0.0031,,,,,,
2012/06/01,0.00319,,,,,,
2012/06/02,0.00297,,,,,,
2012/06/03,0.00301,,,,,,
2012/06/04,0.00329,,,,,,
2012/06/05,0.00365,,,,,,
2012/06/06,0.00389,,,,,,
2012/06/07,0.00358,,,,,,
2012/06/08,0.0039,,,,,,
2012/06/09,0.00387,,,,,,
2012/06/10,0.00344,,,,,,
2012/06/11,0.00311,,,,,,
2012/06/12,0.00352,,,,,,
2012/06/13,0.00391,,,,,,
2012/06/14,0.00372,,,,,,
2012/06/15,0.00381,,,,,,
2012/06/16,0.00413,,,,,,
2012/06/17,0.00382,,,,,,
2012/06/18,0.00448,,,,,,
2012/06/19,0.00451,,,,,,
2012/06/20,0.00445,,,,,,
2012/06/21,0.00788,,,,,,
2012/06/22,0.00584,,,,,,
2012/06/23,0.0052,,,,,,
2012/06/24,0.0042,,,,,,
2012/06/25,0.00357,,,,,,
2012/06/26,0.00387,,,,,,
2012/06/27,0.00388,,,,,,
2012/06/28,0.00396,,,,,,
2012/06/29,0.00345,,,,,,
2012/06/30,0.00414,,,,,,
2012/07/01,0.00336,,,,,,
2012/07/02,0.00491,,,,,,
2012/07/03,0.00363,,,,,,
2012/07/04,0.00374,,,,,,
2012/07/05,0.00388,,,,,,
2012/07/06,0.00459,,,,,,
2012/07/07,0.0113,,,,,,
2012/07/08,0.00378,,,,,,
2012/07/09,0.0044,,,,,,
2012/07/10,0.00489,,,,,,
2012/07/11,0.00442,,,,,,
2012/07/12,0.00418,,,,,,
2012/07/13,0.00453,,,0.00186,,,
2012/07/14,0.00513,,,0.00176,,,
2012/07/15,0.00509,,,0.00179,,,
2012/07/16,0.00552,,,0.00481,,,
2012/07/17,0.00497,,,0.0035,,,
2012/07/18,0.00729,,,0.0021,,,
2012/07/19,0.00587,,,0.00221,,,
2012/07/20,0.00889,,,0.00298,,,
2012/07/21,0.00506,,,0.00238,,,
2012/07/22,0.0045,,,0.00227,,,
2012/07/23,0.00563,,,0.00271,,,
2012/07/24,0.00483,,,0.00302,,,
2012/07/25,0.00482,,,0.00267,,,
2012/07/26,0.00527,,,0.00234,,,
2012/07/27,0.00567,,,0.00252,,,
2012/07/28,0.00521,,,0.0029,,,
2012/07/29,0.00474,,,0.00286,,,
2012/07/30,0.0052,,,0.00504,,,
2012/07/31,0.0047,,,0.0222,,,
2012/08/01,0.00622,,,,,,
2012/08/02,0.00602,,,0.00326,,,
2012/08/03,0.00969,,,0.00349,,,
2012/08/04,0.00623,,,0.00883,,,
2012/08/05,0.00846,,,0.0053,,,
2012/08/06,0.0077,,,0.00282,,,
2012/08/07,0.00708,,,0.00279,,,
2012/08/08,0.0146,,,0.00301,,,
2012/08/09,0.00647,,,0.0029,,,
2012/08/10,0.0178,,,0.00292,,,
2012/08/11,0.00668,,,0.00216,,,
2012/08/12,0.00578,,,0.00393,,,
2012/08/13,0.00621,,,0.00232,,,
2012/08/14,0.00729,,,0.00244,,,
2012/08/15,0.00818,,,0.00222,,,
2012/08/16,0.00818,,,0.00195,,,
2012/08/17,0.00956,,,0.00194,,,
2012/08/18,0.00576,,,0.00184,,,
2012/08/19,0.0058,,,0.00253,,,
2012/08/20,0.00699,,,0.00182,,,
2012/08/21,0.00581,,,0.00193,,,
2012/08/22,0.00597,,,0.00246,,,
2012/08/23,0.00652,,,0.00231,,,
2012/08/24,0.0062,,,0.00193,,,
